entry,subsystem,assembly,subassembly,component,metric
m_robotDrive/m_rearRight/m_moduleDesiredPosition,DRIVETRAIN,REAR_RIGHT,,,DESIRED_POSITION
m_robotDrive/m_currentRotation,DRIVETRAIN,,,,
m_robotDrive/m_currentTranslationDir,DRIVETRAIN,,,,
m_robotDrive/m_currentTranslationMag,DRIVETRAIN,,,,
m_robotDrive/targetposeX,DRIVETRAIN,,,,
m_robotDrive/targetposeY,DRIVETRAIN,,,,
m_robotDrive/targetrotation,DRIVETRAIN,,,,
m_robotDrive/gyro_rotation,DRIVETRAIN,,,,
m_robotIntake/intakecurrent,INTAKE,ROLLER,,MOTOR,CURRENT
m_robotIntake/intakevelocity,INTAKE,ROLLER,,MOTOR,VELOCITY
m_robotIntake/intaketemperature,INTAKE,ROLLER,,MOTOR,TEMP
m_robotIntake/postioncurrent,INTAKE,POSITION,,MOTOR,CURRENT
m_robotIntake/positionvelocity,INTAKE,POSITION,,MOTOR,VELOCITY
m_robotIntake/positiontemperature,INTAKE,POSITION,,MOTOR,TEMP
m_robotIntake/positionTarget,INTAKE,,,,TARGET_POSITION
m_robotIntake/kP,INTAKE,,,,
m_robotIntake/kD,INTAKE,,,,
m_robotIntake/getPositionCF,INTAKE,,,,
m_robotIntake/getIntakePosition,INTAKE,,,,POSITION
m_shooter/temp,SHOOTER,ROLLER,,MOTOR,TEMP
m_shooter/current,SHOOTER,ROLLER,,MOTOR,CURRENT
m_shooter/velocity,SHOOTER,ROLLER,,MOTOR,VELOCITY
m_shooter/targetVelocity,SHOOTER,ROLLER,,,TARGET_VELOCITY
m_shooter/tempIndex,SHOOTER,INDEXER,,MOTOR,TEMP
m_shooter/currentIndex,SHOOTER,INDEXER,,MOTOR,CURRENT
m_shooter/velocityIndex,SHOOTER,INDEXER,,MOTOR,VELOCITY
m_shooter/targetPosition,SHOOTER,ARM,,,TARGET_POSITION
m_shooter/robotVelocity,SHOOTER,,,,
m_shooter/armPosition,SHOOTER,ARM,,MOTOR,POSITION
m_shooter/armVelocity,SHOOTER,ARM,,MOTOR,VELOCITY
m_shooter/armCancoderPosition,SHOOTER,ARM,,SENSOR,POSITION
m_shooter/armCancoderVelocity,SHOOTER,ARM,,SENSOR,VELOCITY
m_shooter/armPower,SHOOTER,ARM,,MOTOR,POWER
m_shooter/armVoltage,SHOOTER,ARM,,MOTOR,VOLTAGE
m_shooter/armTemp,SHOOTER,ARM,,MOTOR,TEMP
m_shooter/armCurrent,SHOOTER,ARM,,MOTOR,CURRENT
m_shooter/Ready,SHOOTER,,,,
m_shooter/getAngleDegrees,SHOOTER,ARM,,,
m_shooter/atRPM,SHOOTER,ROLLER,,,
m_shooter/getShootingVelocity,SHOOTER,ROLLER,,,
m_shooter/getIndexerBeamBreak,SHOOTER,INDEXER,,,
m_shooter/armAtSetpoint,SHOOTER,ARM,,,
m_Climber/temp,CLIMBER,HOOKS,,MOTOR,TEMP
m_Climber/current,CLIMBER,HOOKS,,MOTOR,CURRENT
m_Climber/velocity,CLIMBER,HOOKS,MOTOR,VELOCITY
m_Climber/targetPosition,CLIMBER,HOOKS,,,TARGET_POSITION
m_Climber/position,CLIMBER,HOOKS,,MOTOR,POSITION
m_Climber/power,CLIMBER,HOOKS,,MOTOR,POWER
m_Climber/atSetpoint,CLIMBER,HOOKS,,,
